,x,y,time,theta
0.0,1083.68994140625,791.1639404296875,0.01551365852355957,0.28554275438131455
1.0,1085.4847412109375,801.2406616210938,0.09736132621765137,0.2925741586608694
2.0,1083.9869384765625,798.429443359375,0.11437582969665527,0.2906140366752274
3.0,1080.5277099609375,784.4637451171875,0.1373589038848877,0.28085917125450927
4.0,1080.97900390625,750.1263427734375,0.15387296676635742,0.2567543596036738
5.0,1076.0732421875,711.2586669921875,0.16988611221313477,0.2292678398288735
6.0,1077.975341796875,660.3682861328125,0.1858997344970703,0.19296855155815723
7.0,1075.5,606.5,0.20191359519958496,0.15418112310528076
8.0,1073.3724365234375,547.32275390625,0.2179272174835205,0.11116767632698604
9.0,1071.6353759765625,477.2106628417969,0.23444128036499023,0.05970521986738342
10.0,1071.1680908203125,407.84930419921875,0.2499547004699707,0.00831539761375888
11.0,1079.3997802734375,343.2114562988281,0.26646900177001953,-0.03994838864039735
12.0,1082.5,279.0,0.2824828624725342,-0.08819736337474976
13.0,1082.8829345703125,223.82418823242188,0.2989969253540039,-0.12985760655675435
14.0,1086.5,173.5,0.3145105838775635,-0.16798506380408806
15.0,1092.40625,137.40625,0.33002376556396484,-0.19539193451010373
16.0,1097.1165771484375,109.15859985351562,0.34653782844543457,-0.2168690548128609
17.0,1099.763671875,96.59091186523438,0.3625519275665283,-0.22643092528674139
18.0,1098.475341796875,103.39261627197266,0.37906575202941895,-0.2212555408107757
19.0,1094.8365478515625,124.03877258300781,0.39658021926879883,-0.2055527260461701
20.0,1091.0,162.5,0.41309499740600586,-0.1763328507010158
21.0,1085.48876953125,209.96014404296875,0.4296090602874756,-0.1403503328715628
22.0,1084.7708740234375,267.0,0.4461233615875244,-0.09724348102096741
23.0,1080.5185546875,333.5044860839844,0.4631381034851074,-0.04722417646348931
24.0,1078.188232421875,399.0480651855469,0.47965216636657715,0.0017636632926175677
25.0,1071.069580078125,468.300048828125,0.49585843086242676,0.0531287004450256
26.0,1075.5750732421875,536.622314453125,0.5126943588256836,0.10334739747171567
27.0,1073.42041015625,595.628173828125,0.5292079448699951,0.14630961011609417
28.0,1078.4193115234375,640.7415771484375,0.5463497638702393,0.17887866594702873
29.0,1077.8310546875,668.9545288085938,0.5633642673492432,0.19911697530883093
30.0,1078.6495361328125,692.1383056640625,0.579378604888916,0.21567006269508543
31.0,1082.4215087890625,700.0287475585938,0.5958921909332275,0.2212874745701398
32.0,1084.719970703125,698.9400024414062,0.6124062538146973,0.22051286666004083
33.0,1080.441650390625,694.947998046875,0.628920316696167,0.21767131520331623
34.0,1079.9678955078125,674.7018432617188,0.6458590030670166,0.20322713468959547
35.0,1078.408935546875,649.0468139648438,0.6623728275299072,0.18484694293501253
36.0,1078.66552734375,614.0088500976562,0.6793875694274902,0.15960941341135054
37.0,1077.0689697265625,569.7728881835938,0.69590163230896,0.12753344452370752
38.0,1077.891845703125,521.445068359375,0.7124159336090088,0.09223387316446824
39.0,1075.5,471.0,0.7299308776855469,0.0551222334890501
40.0,1074.9158935546875,422.2698974609375,0.7464451789855957,0.019035775130844923
41.0,1079.3411865234375,371.6219787597656,0.7619583606719971,-0.018693902728864786
42.0,1079.359375,324.4355163574219,0.7799737453460693,-0.054027842803786835
